product_id,sku,product_name,category,unit_price,is_subscription,in_stock,avg_rating,review_count,weight_kg,created_date
PRD0001,SKU-56014,Basic Training Suite 1,Training,3180.16,FALSE,TRUE,1.6,126,0.0,2024-02-06
PRD0002,SKU-72326,Pro Services Tool 6,Services,2681.54,TRUE,TRUE,2.2,406,0.0,2020-09-19
PRD0003,SKU-63299,Advanced Services Suite 8,Services,9354.97,TRUE,FALSE,1.0,130,0.0,2022-09-04
PRD0004,SKU-54344,Advanced Software Tool 1,Software,5967.84,FALSE,TRUE,4.2,356,0.0,2023-04-11
PRD0005,SKU-25469,Lite Support Tool 7,Support,4524.18,FALSE,FALSE,3.1,154,0.0,2024-06-26
PRD0006,SKU-10733,Lite Hardware Suite 5,Hardware,1257.45,TRUE,TRUE,3.9,194,0.29,2021-02-28
PRD0007,SKU-98901,Enterprise Consulting Tool 7,Consulting,963.28,FALSE,TRUE,5.0,136,0.0,2021-09-20
PRD0008,SKU-37532,Enterprise Support Tool 7,Support,8021.84,TRUE,TRUE,3.1,96,0.0,2022-07-16
PRD0009,SKU-20840,Basic Hardware Suite 8,Hardware,1980.52,FALSE,FALSE,3.7,18,13.26,2022-01-08
PRD0010,SKU-90926,Pro Support Suite 8,Support,4641.84,TRUE,TRUE,2.9,487,0.0,2024-11-03
PRD0011,SKU-52690,Advanced Software Tool 8,Software,6145.26,FALSE,TRUE,2.7,292,0.0,2024-01-31
PRD0012,SKU-44013,Pro Services Suite 4,Services,7605.36,TRUE,TRUE,3.6,136,0.0,2024-06-04
PRD0013,SKU-33574,Basic Hardware Suite 6,Hardware,5225.27,FALSE,TRUE,4.7,130,17.06,2021-03-10
PRD0014,SKU-77083,Enterprise Training Suite 4,Training,9626.84,FALSE,TRUE,3.7,494,0.0,2022-09-23
PRD0015,SKU-93754,Basic Hardware Tool 5,Hardware,9627.06,TRUE,TRUE,3.6,49,16.97,2022-06-13
PRD0016,SKU-57931,Basic Training Tool 2,Training,9768.57,TRUE,FALSE,1.6,380,0.0,2022-09-28
PRD0017,SKU-17777,Pro Services Tool 2,Services,6109.36,TRUE,TRUE,3.7,130,0.0,2021-05-12
PRD0018,SKU-81831,Pro Consulting Suite 5,Consulting,1684.7,FALSE,TRUE,3.6,369,0.0,2022-04-02
PRD0019,SKU-32291,Pro Consulting Suite 2,Consulting,4001.96,TRUE,FALSE,5.0,138,0.0,2023-10-21
PRD0020,SKU-29243,Lite Hardware Tool 5,Hardware,3868.97,FALSE,FALSE,2.6,173,11.4,2023-08-04
PRD0021,SKU-60847,Pro Consulting Tool 2,Consulting,8677.59,FALSE,TRUE,2.9,432,0.0,2023-12-27
PRD0022,SKU-88679,Basic Services Suite 5,Services,8967.35,TRUE,TRUE,4.0,372,0.0,2021-01-31
PRD0023,SKU-29136,Advanced Software Tool 5,Software,8223.33,FALSE,TRUE,2.3,407,0.0,2024-11-11
PRD0024,SKU-33929,Advanced Consulting Suite 8,Consulting,7233.86,TRUE,FALSE,4.4,360,0.0,2024-10-14
PRD0025,SKU-69393,Pro Services Tool 6,Services,9231.05,TRUE,FALSE,3.2,144,0.0,2020-10-17
PRD0026,SKU-67288,Advanced Hardware Tool 5,Hardware,677.53,FALSE,FALSE,4.0,295,4.24,2023-01-31
PRD0027,SKU-62190,Enterprise Services Tool 9,Services,9700.92,FALSE,TRUE,1.6,86,0.0,2023-08-31
PRD0028,SKU-14834,Basic Training Suite 2,Training,735.47,TRUE,FALSE,2.7,146,0.0,2020-06-11
PRD0029,SKU-68531,Advanced Training Tool 2,Training,5569.53,FALSE,FALSE,4.8,155,0.0,2023-04-02
PRD0030,SKU-66177,Enterprise Services Suite 1,Services,3098.04,FALSE,TRUE,1.1,159,0.0,2020-07-23
PRD0031,SKU-74827,Lite Support Tool 5,Support,8926.53,FALSE,TRUE,4.8,120,0.0,2020-11-05
PRD0032,SKU-76906,Enterprise Services Suite 2,Services,8859.86,FALSE,FALSE,4.2,280,0.0,2023-01-29
PRD0033,SKU-16174,Enterprise Consulting Suite 5,Consulting,1855.71,TRUE,TRUE,3.0,499,0.0,2024-04-18
PRD0034,SKU-28000,Pro Consulting Suite 9,Consulting,4823.82,TRUE,FALSE,4.3,64,0.0,2024-05-02
PRD0035,SKU-84781,Basic Training Suite 7,Training,7340.67,FALSE,FALSE,4.3,169,0.0,2023-10-07
PRD0036,SKU-75632,Advanced Services Tool 1,Services,802.14,TRUE,TRUE,1.2,227,0.0,2024-03-27
PRD0037,SKU-40781,Basic Services Suite 1,Services,1859.5,FALSE,TRUE,3.7,224,0.0,2021-06-07
PRD0038,SKU-61861,Advanced Training Suite 9,Training,5883.32,FALSE,FALSE,2.1,330,0.0,2023-04-15
PRD0039,SKU-52043,Pro Support Suite 8,Support,5487.06,FALSE,TRUE,1.6,267,0.0,2021-06-29
PRD0040,SKU-17457,Lite Training Suite 7,Training,2259.61,TRUE,TRUE,3.8,219,0.0,2022-12-31
PRD0041,SKU-18247,Pro Consulting Tool 1,Consulting,2217.72,FALSE,TRUE,2.6,336,0.0,2024-11-01
PRD0042,SKU-84983,Enterprise Software Suite 2,Software,146.98,FALSE,FALSE,1.2,160,0.0,2023-03-10
PRD0043,SKU-98155,Pro Consulting Tool 2,Consulting,970.63,TRUE,FALSE,1.7,323,0.0,2023-11-18
PRD0044,SKU-64402,Basic Consulting Suite 8,Consulting,4434.25,TRUE,FALSE,3.1,119,0.0,2020-01-30
PRD0045,SKU-62717,Enterprise Support Tool 4,Support,3480.23,TRUE,TRUE,4.4,188,0.0,2022-02-16
PRD0046,SKU-39859,Enterprise Hardware Tool 8,Hardware,7788.61,FALSE,FALSE,2.0,369,4.07,2021-07-27
PRD0047,SKU-90119,Basic Software Tool 5,Software,7782.76,FALSE,TRUE,2.7,176,0.0,2022-08-31
PRD0048,SKU-36259,Enterprise Support Tool 9,Support,565.99,TRUE,TRUE,1.4,140,0.0,2023-03-16
PRD0049,SKU-17295,Advanced Hardware Suite 5,Hardware,8759.14,TRUE,FALSE,4.5,486,11.2,2020-04-19
PRD0050,SKU-28886,Advanced Consulting Tool 8,Consulting,3852.4,FALSE,TRUE,2.9,221,0.0,2021-05-22
PRD0051,SKU-97328,Advanced Hardware Tool 8,Hardware,521.58,TRUE,TRUE,2.4,360,14.43,2020-10-18
PRD0052,SKU-74781,Pro Training Tool 3,Training,4638.81,TRUE,FALSE,3.3,56,0.0,2020-11-14
PRD0053,SKU-90377,Pro Hardware Suite 2,Hardware,5787.62,FALSE,FALSE,3.8,363,16.8,2022-09-23
PRD0054,SKU-50835,Enterprise Software Tool 7,Software,5060.49,TRUE,FALSE,2.3,114,0.0,2023-10-12
PRD0055,SKU-21037,Lite Hardware Suite 9,Hardware,7131.43,TRUE,FALSE,3.7,153,13.21,2021-01-05
PRD0056,SKU-43462,Advanced Consulting Suite 9,Consulting,7019.69,TRUE,FALSE,3.1,118,0.0,2021-01-05
PRD0057,SKU-93975,Enterprise Training Suite 9,Training,7049.67,TRUE,TRUE,1.8,465,0.0,2024-02-06
PRD0058,SKU-81351,Advanced Support Tool 6,Support,1549.19,FALSE,FALSE,3.2,58,0.0,2020-04-21
PRD0059,SKU-99807,Lite Support Suite 2,Support,4956.69,FALSE,TRUE,1.9,313,0.0,2024-01-30
PRD0060,SKU-19467,Basic Support Suite 6,Support,8642.2,FALSE,TRUE,2.7,481,0.0,2024-03-26
PRD0061,SKU-69817,Advanced Hardware Suite 1,Hardware,7359.02,FALSE,TRUE,2.8,274,12.71,2024-11-12
PRD0062,SKU-35220,Advanced Consulting Tool 4,Consulting,6801.21,TRUE,TRUE,1.2,26,0.0,2024-11-27
PRD0063,SKU-90076,Advanced Training Suite 6,Training,9808.94,TRUE,TRUE,4.6,120,0.0,2020-07-11
PRD0064,SKU-17122,Advanced Support Tool 8,Support,4400.71,TRUE,FALSE,3.3,211,0.0,2022-04-12
PRD0065,SKU-67280,Enterprise Consulting Suite 8,Consulting,1323.29,TRUE,FALSE,2.2,411,0.0,2024-08-04
PRD0066,SKU-91478,Enterprise Consulting Tool 2,Consulting,8403.69,TRUE,FALSE,1.6,458,0.0,2022-09-24
PRD0067,SKU-60116,Basic Training Suite 8,Training,4972.7,TRUE,TRUE,4.5,151,0.0,2023-06-19
PRD0068,SKU-13667,Pro Support Tool 6,Support,8360.45,FALSE,FALSE,1.6,389,0.0,2020-04-03
PRD0069,SKU-46168,Lite Hardware Tool 4,Hardware,6110.97,FALSE,FALSE,1.6,474,12.38,2020-06-09
PRD0070,SKU-69703,Advanced Hardware Tool 7,Hardware,2418.23,FALSE,FALSE,1.6,407,11.44,2021-11-10
PRD0071,SKU-85475,Enterprise Software Suite 9,Software,5770.79,FALSE,FALSE,3.3,242,0.0,2021-12-31
